run_id,corpus_id,token_id,span_id,stage_id,path_id,input_carrier_id,output_carrier_id,applicability,transition_state,evidence_refs,rank_before,rank_after,residuals_before,residuals_after,identity_invariants_checked,trace_parent_ids,trace_entry_id,failure_code,remediation_hints,next_admissible_stage_ids,source_commit_sha,registry_version,registry_hash
native:nazila,nazila,t000,EMPTY_IN_RECORD,PATH_CLASSIFICATION,RootStemPath,t000:in,t000:PATH_CLASSIFICATION:out,APPLICABLE,EXECUTED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,EMPTY_IN_RECORD,token_surface_identity_preserved,trace:t000,trace:t000:PATH_CLASSIFICATION,EMPTY_IN_RECORD,EMPTY_IN_RECORD,PRE_WEIGHT_CAPACITY_AUDIT · FORMAL_SHAPE,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,PRE_WEIGHT_CAPACITY_AUDIT,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,DECLARED_NOT_IMPLEMENTED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:PRE_WEIGHT_CAPACITY_AUDIT,EMPTY_IN_RECORD,runtime_implementation_missing,DAL_ONLY · NON_CONTENT_FORMAL_ROUTE,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,DAL_ONLY,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,NOT_OPENED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:DAL_ONLY,EMPTY_IN_RECORD,previous_gate_not_proven,VERBAL_MADLUL,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,VERBAL_MADLUL,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,NOT_OPENED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:VERBAL_MADLUL,EMPTY_IN_RECORD,previous_gate_not_proven,DAL_MADLUL_BINDING,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,DAL_MADLUL_BINDING,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,NOT_OPENED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:DAL_MADLUL_BINDING,EMPTY_IN_RECORD,previous_gate_not_proven,CONTRACTABLE_UNIT,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,CONTRACTABLE_UNIT,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,NOT_OPENED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:CONTRACTABLE_UNIT,EMPTY_IN_RECORD,previous_gate_not_proven,RELATION,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,RELATION,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,NOT_OPENED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:RELATION,EMPTY_IN_RECORD,previous_gate_not_proven,FORMAL_SHAPE,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,FORMAL_SHAPE,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,DEFERRED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:FORMAL_SHAPE,EMPTY_IN_RECORD,missing_context:FORMAL_ONLY,MUFRAD_DALALAH,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,MUFRAD_DALALAH,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,NOT_OPENED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:MUFRAD_DALALAH,EMPTY_IN_RECORD,previous_gate_not_proven,RELATION_CLOSURE,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
native:nazila,nazila,t000,EMPTY_IN_RECORD,RELATION_CLOSURE,RootStemPath,t000:in,EMPTY_IN_RECORD,APPLICABLE,NOT_OPENED,token:t000,ZERO,ZERO,EMPTY_IN_RECORD,RUNTIME_CONTEXT_PENDING,token_surface_identity_preserved,trace:t000,trace:t000:RELATION_CLOSURE,EMPTY_IN_RECORD,previous_gate_not_proven,IFADAH,UNKNOWN_COMMIT_SHA,native-registry-v1,5e88b7067293970bbd4c3472613b853e35a2c3077963e7a46edaa2ccb770dab5
