Sura_No,Verse_No,Word_No,Word,Normalized_Word,Normalization_Status,Owner_Decision_Classes,Rules_Applied,Stop_Reason,Jalalah_Prefix,Jalalah_Preserved,Elision_Points,Trace_Anchor,Parent_Anchor
0,1,1,مَاتَ,مَاْتَ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:1,aslot/axis0/0:1:1
0,1,2,سَعِدٌ,سَعِدُنْ,NORMALIZED_OWNER_DECISION_REQUIRED,U_TANWEEN,,,,,,aslot/axis1/0:1:2,aslot/axis0/0:1:2
0,1,3,عَنْ,عَنْ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:3,aslot/axis0/0:1:3
0,1,4,أُخْتٍ,أُخْتِنْ,NORMALIZED_OWNER_DECISION_REQUIRED,U_TANWEEN,N10|N12,,,,,aslot/axis1/0:1:4,aslot/axis0/0:1:4
0,1,5,تِسكُنُ,تِسْكُنُ,NORMALIZED_OWNER_DECISION_REQUIRED,U_UNVOCALIZED_CARRIER,N12,,,,,aslot/axis1/0:1:5,aslot/axis0/0:1:5
0,1,6,مَعَهُ,مَعَهُ,NORMALIZED,,,,,,,aslot/axis1/0:1:6,aslot/axis0/0:1:6
0,1,7,فَأَرَادَ,فَأَرَاْدَ,NORMALIZED,,N10|N12,,,,,aslot/axis1/0:1:7,aslot/axis0/0:1:7
0,1,8,وَارِثُهُ,وَاْرِثُهُ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:8,aslot/axis0/0:1:8
0,1,9,طَرْدَهَا,طَرْدَهَاْ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:9,aslot/axis0/0:1:9
0,1,10,فَتَحَاكَمَا,فَتَحَاْكَمَاْ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:10,aslot/axis0/0:1:10
